"id","name","terms"
"d000073605","spotted fever group rickettsiosis","spotted fevers;fever spotted;fevers spotted;spotted fever;spotted fever group rickettsioses;japanese spotted fever;fever japanese spotted;fevers japanese spotted;japanese spotted fevers;spotted fever japanese;tick-borne lymphadenopathy;lymphadenopathies tick-borne;lymphadenopathy tick-borne;tick borne lymphadenopathy;tick-borne lymphadenopathies;rickettsia slovaca infection;infection rickettsia slovaca;infections rickettsia slovaca;rickettsia slovaca infections;tibola;african tick-bite fever;african tick bite fever;fever african tick-bite;tick-bite fever african;rickettsia africae infection;infection rickettsia africae;infections rickettsia africae;rickettsia africae infections;flinders island spotted fever;rickettsia aeschlimannii infection;infection rickettsia aeschlimannii;infections rickettsia aeschlimannii;rickettsia aeschlimannii infections;rickettsialpox;rickettsia akari infection;infection rickettsia akari;infections rickettsia akari;rickettsia akari infections;far eastern spotted fever;north asian tick typhus;queensland tick typhus;tick typhus queensland;typhus queensland tick;rickettsia australis infection;infection rickettsia australis;infections rickettsia australis;rickettsia australis infections"
"d014437","typhus endemic flea-borne","typhus endemic flea borne;endemic typhus;typhus endemic;rickettsia typhi infection;infection rickettsia typhi;infections rickettsia typhi;rickettsia typhi infections;typhus murine;murine typhus;murine typhus infection;infection murine typhus;infections murine typhus;murine typhus infections;typhus infection murine;typhus infections murine"
"d014438","typhus epidemic louse-borne","typhus epidemic louse borne;jail fever;fever jail;epidemic typhus;typhus epidemic;rickettsia prowazekii infection;infection rickettsia prowazekii;rickettsia prowazekii infections;louse-borne typhus;louse borne typhus;typhus louse-borne;typhus;brill-zinsser disease;brill zinsser disease;brill disease;brills disease;brills disease"
"d012282","rickettsia infections","infection rickettsia;rickettsia infection;rickettsial diseases;rickettsial disease;rickettsiosis;rickettsioses"
"d012612","scrub typhus","tsutsugamushi fever;fever tsutsugamushi;fevers tsutsugamushi;tsutsugamushi fevers;tsutsugamushi disease;disease tsutsugamushi;diseases tsutsugamushi;tsutsugamushi diseases;orientia tsutsugamushi infection;infection orientia tsutsugamushi;infections orientia tsutsugamushi;orientia tsutsugamushi infections"
"d012288","rickettsiaceae infections","infection rickettsiaceae;rickettsiaceae infection"
"d012061","relapsing fever","fevers relapsing"
"d001899","borrelia infections","borrelia infection;infection borrelia"
"d014895","weil disease","leptospirosis icterohemorrhagic;icterohemorrhagic leptospirosis;weils disease;disease weils;weils disease;jaundice spirochetal;spirochetal jaundice"
"d007922","leptospirosis","leptospiroses;leptospira infection;infection leptospira;infections leptospira;leptospira infections;stuttgart disease;mud fever;fever mud;rice-field fever;fever rice-field;rice field fever;cane-cutter fever;cane cutter fever;fevers cane-cutter;swineherds disease;swineherds diseases;canicola fever;fever canicola;leptospira canicola infection;infection leptospira canicola;infections leptospira canicola;leptospira canicola infections"
"d010874","pinta",""
"d002601","chancre",""
"d013589","syphilis cardiovascular","aortitis syphilitic;aortitides syphilitic;syphilitic aortitides;syphilitic aortitis"
"d013590","syphilis congenital","hutchinsons teeth;hutchinson teeth;hutchinsons teeth;teeth hutchinsons"
"d013591","syphilis cutaneous","skin syphilis;syphilis skin;syphilids;syphilid"
"d013592","syphilis latent","latent stage syphilis"
"d013587","syphilis","great pox"
"d015001","yaws","frambesia;frambesias;frambesia tropica;frambesia tropicas"
"d014211","treponemal infections","infection treponemal;treponemal infection;bejel;bejels"
"d013145","spirochaetales infections","infections spirochete;infection spirochete;spirochete infection;spirochete infections;infection spirochaetales;spirochaetales infection"
