"id","name","terms"
"d019659","asteraceae","asteraceae;compositae;doronicum;doronicums;leopards bane false;bane false leopards;banes false leopards;false leopards bane;false leopards banes;leopard bane false;leopards banes false;leopards bane false;emilia plant;emilia plants;plant emilia;plants emilia;enhydra fluctuans;enhydra fluctuan;fluctuan enhydra;phagnalon;phagnalons;heterotheca;heterothecas;iostephane;iostephanes;ixeris;ixeri;lychnophora;lychnophoras;pseudognaphalium;pseudognaphaliums;silphium;silphiums;sphaeranthus;aspilia;aspilias;trixis;trixi;viguiera;viguieras;carpesium;carpesiums;clibadium;clibadiums"
"d031162","achillea","achillea;achilleas;yarrow;yarrows;achillea millefolium;achillea millefoliums;millefolium achillea"
"d031163","ageratum","ageratum;ageratums"
"d031164","ambrosia","ambrosia;ambrosias;ragweed;ragweeds"
"d031166","anthemis","anthemis;anthemi;anthemis cotula;anthemis cotulas;cotulas anthemis;mayweed stinking;mayweeds stinking;stinking mayweed;stinking mayweeds;fennel dog;dog fennel;dog fennels;fennels dog;chamomile stinking;chamomiles stinking;stinking chamomile;stinking chamomiles;camomile stinking;camomiles stinking;stinking camomile;stinking camomiles"
"d031170","arctium","arctium;arctiums;burdock;burdocks;burdock plant;burdock plants;plant burdock;plants burdock;arctium lappa;gobo;gobos;gobou;burdock greater;burdocks greater;greater burdock;greater burdocks;arctium minus;burdock lesser;burdocks lesser;lesser burdock;lesser burdocks"
"d036603","ageratina","ageratina;ageratinas;ageratina adenophora;ageratina adenophoras;adenophoras ageratina;eupatorium adenophorum;eupatorium adenophorums;adenophorum eupatorium"
"d036921","achyrocline","achyrocline;achyroclines;marcela;marcelas"
"d032422","cissus",""
"d027843","vitis","vitis;vitis vinifera;grapes;grape;raisins;raisin"
"d027844","vitaceae",""
"d032421","ampelopsis","ampelopsis;ampelopses;porcelain berry plant;berry plant porcelain;berry plants porcelain;plant porcelain berry;plants porcelain berry;porcelain berry plants;porcelainberry plant;plant porcelainberry;plants porcelainberry;porcelainberry plants"
"d028483","abelmoschus","abelmoschus;abelmoschus esculentus;okra;okras"
"d035162","adansonia","adansonia;adansonias;baobab;baobabs"
"d031583","althaea","althaea;althaeas;althaea officinalis;mallow marsh;mallows marsh;marsh mallows;althea officinalis;white mallow;mallow white;mallows white;white mallows;marsh mallow;marshmallow;marshmallows"
