"id","name","terms"
"d015342","dna probes","dna probes;probes dna;dna hybridization probes;hybridization probes dna;probes dna hybridization;whole genomic dna probes;gene probes dna;dna gene probes;probes dna gene;whole chromosomal probes;chromosomal probes whole;probes whole chromosomal;chromosomal probes;probes chromosomal;conserved gene probes;gene probes conserved;probes conserved gene"
"d015345","oligonucleotide probes","oligonucleotide probes;probes oligonucleotide;oligodeoxyribonucleotide probes;probes oligodeoxyribonucleotide;oligoribonucleotide probes;probes oligoribonucleotide"
"d018075","rna complementary","rna complementary;crna;complementary rna;crna probes;probes crna"
"d015347","rna probes","rna probes;probes rna;gene probes rna;probes rna gene;rna gene probes"
"d015341","nucleic acid probes","nucleic acid probes;acid probes nucleic;probes nucleic acid"
"d015335","molecular probes","molecular probes;probe molecular;probes molecular;molecular probe"
"d054852","small molecule libraries","small molecule libraries;libraries small molecule;molecule libraries small;molecular libraries small;libraries small molecular;small molecular libraries;chemical libraries;libraries chemical"
"d019995","laboratory chemicals","laboratory chemicals;chemicals laboratory"
"d065346","lubricant eye drops","lubricant eye drops;drops lubricant eye;eye drops lubricant;tears artificial;artificial tears;lubricating eye drops;drops lubricating eye;eye drops lubricating"
"d055675","viscosupplements","viscosupplements;viscosupplement;visco supplements;supplements visco"
"d054327","lubricants","lubricants;lubrication agents;agents lubrication;lubricating agents;agents lubricating"
"d000067397","nerve agents","nerve agents;agents nerve;nerve gas;gas nerve"
"d058205","tooth bleaching agents","tooth bleaching agents;agents tooth bleaching;bleaching agents tooth;teeth whitening agents;agents teeth whitening;whitening agents teeth;tooth whitening agents;agents tooth whitening;whitening agents tooth;teeth bleaching agents;agents teeth bleaching;bleaching agents teeth"
"d057886","bleaching agents","bleaching agents;agents bleaching;whitening agents;agents whitening"
"d010083","oxidants photochemical","oxidants photochemical;photochemical oxidants"
"d016877","oxidants","oxidants;oxidizing agents;agents oxidizing"
"d000075528","aversive agents","aversive agents;taste deterrents;aversion agents;bittering agents;bitterants;pungent agents"
"d009823","ointment bases","ointment bases;bases ointment"
"d000079282","vaccine excipients","vaccine excipients;excipients vaccine;excipient vaccine;vaccine excipient"
"d005079","excipients","excipients;suspending agents;agents suspending;stabilizing agents;agents stabilizing"
"d014677","pharmaceutical vehicles","pharmaceutical vehicles;pharmaceutical vehicle;vehicle pharmaceutical;vehicles pharmaceutical"
"d011310","preservatives pharmaceutical","preservatives pharmaceutical;pharmaceutical preservative;preservative pharmaceutical;pharmaceutic aids preservatives;preservatives pharmaceutic;pharmaceutic preservative;preservative pharmaceutic;pharmaceutical preservatives;pharmaceutic preservatives"
"d000277","adjuvants pharmaceutic","adjuvants pharmaceutic;adjuvant pharmaceutical;adjuvants pharmaceutical;pharmaceutical adjuvants;pharmaceutic adjuvants;pharmaceutical adjuvant;adjuvant pharmaceutic;pharmaceutic adjuvant"
"d010592","pharmaceutic aids","pharmaceutic aids;pharmaceutical aids;aids pharmaceutic;aids pharmaceutical"
"d002314","cardioplegic solutions","cardioplegic solutions;solutions cardioplegic;cardioplegic solution;solution cardioplegic"
"d015312","hemodialysis solutions","hemodialysis solutions;solutions hemodialysis;dialysis solutions hemodialysis;hemodialysis dialysis solutions;solutions hemodialysis dialysis;hemodialyzates;hemodialysates"
"d015314","dialysis solutions","dialysis solutions;solutions dialysis;dialysates;dialyzates"
"d009883","ophthalmic solutions","ophthalmic solutions;solutions ophthalmic;eyedrops;eye drops;drops eye"
"d005217","fat emulsions intravenous","fat emulsions intravenous;emulsions intravenous fat;intravenous fat emulsions;lipid emulsions intravenous;emulsions intravenous lipid;intravenous lipid emulsions"
"d057947","parenteral nutrition solutions","parenteral nutrition solutions;intravenous feeding solutions;feeding solutions intravenous;solutions intravenous feeding"
