"id","name","terms"
"d014307","trioxsalen","trioxsalen;trioxysalen;trioxisalenum;458-trimethylpsoralen;259-trimethyl-7h-furo32-gbenzopyran-7-one;trimethylpsoralen;trisoralen;nsc-71047;nsc 71047;nsc71047"
"d011564","furocoumarins","furocoumarins;furanocoumarins;angelicins;psoralens"
"d009793","ochratoxins",""
"d049934","isocoumarins","isocoumarins;1h-2-benzopyran-1-ones;isocoumarin;1-isochromen-1-ones"
"d039681","pyranocoumarins","pyranocoumarins;calanolides"
"d003372","coumaphos","coumaphos;coumafos;asuntol"
"d006923","hymecromone","hymecromone;7-hydroxy-4-methyl-coumarin;7 hydroxy 4 methyl coumarin;resocyanine;4-methylumbelliferone;4 methylumbelliferone;imecromone;methylumbelliferone;mendiaxon;cholestil"
"d012603","scopoletin","scopoletin;methylesculetin;chrysotropic acid;acid chrysotropic;gelseminic acid;acid gelseminic"
"d014468","umbelliferones","umbelliferones;7-hydroxycoumarins;7 hydroxycoumarins;hydrangin;skimmetin"
"d003374","coumarins","coumarins;coumarines;12-benzopyrone derviatives;12 benzopyrone derviatives;derviatives 12-benzopyrone;benzopyran-2-ones;benzopyran 2 ones;coumarin derivatives;derivatives coumarin;12-benzopyrones;12 benzopyrones;12-benzo-pyrones;12 benzo pyrones"
"d019806","cromakalim","cromakalim;brl-34915;brl-38226;brl 38226;brl38226;cromakalim 3r-cis-isomer;cromakalim 3s-cis-isomer;cromakalim trans-isomer;lemakalim;levcromakalim;cromakalim 3s-trans-isomer;brl-38227;brl 38227;brl38227;cromakalim 3r-trans-isomer"
"d004610","ellagic acid","ellagic acid;acid ellagic;benzoaric acid;acid benzoaric"
"d006416","hematoxylin","hematoxylin;hemotoxylin;hematoxiline;hydroxybrasilin;hydroxybrazilin;haematoxylon"
"d000068577","nebivolol","nebivolol;alphaalpha-iminobismethylenebis6-fluoro-34-dihydro-2h-1-benzopyran-2-methanol;bystolic;nebilet;silostar;nebivolol hydrochloride;hydrochloride nebivolol;r 67555;67555 r;r-67555;r67555;lobivon"
"d024502","alpha-tocopherol","alpha-tocopherol;alpha tocopherol;34-dihydro-2578-tetramethyl-2-4812-trimethyltridecyl-2h-1-benzopyran-6-ol;d-alpha tocopherol;tocopherol d-alpha;d alpha tocopherol;rrr-alpha-tocopherol;alpha-tocopherol succinate;alpha tocopherol succinate;tocopherol succinate;alpha-tocopherol hemisuccinate;alpha tocopherol hemisuccinate;vitamin e succinate;d-alpha-tocopheryl acetate;d alpha tocopheryl acetate;alpha-tocopherol acetate;alpha tocopherol acetate;tocopheryl acetate;tocopherol acetate;acetate tocopherol;alpha-tocopheryl calcium succinate;alpha tocopheryl calcium succinate"
"d024503","beta-tocopherol","beta-tocopherol;beta tocopherol;34-dihydro-258-trimethyl-2-4812- trimethyltridecyl-2h-1-benzopyran-6-ol"
"d024504","gamma-tocopherol","gamma-tocopherol;34-dihydro-278-trimethyl-2-4812-trimethyltridecyl-2h-1-benzopyran-6-ol"
