"meshID","name","terms","matched"
"","mastoparan","","0"
"","matrine","","0"
"","maurotoxin","","0"
"","megascoliakinin","","0"
"","mesaconitine","","0"
"","methylconiine","","0"
"","microcystin lr","","0"
"","microcystin ra","","0"
"","microcystin rr","","0"
"","microcystin yr","","0"
"","mollicellin c","","0"
"d020866","omega-conotoxin gvia","omega-conotoxin gvia;gvia omega-conotoxin;omega conotoxin gvia;omega-conus geographus toxin;geographus toxin omega-conus;omega conus geographus toxin;toxin omega-conus geographus;omega-cgtx;omega cgtx;omega-cgtx gvia;gvia omega-cgtx;omega cgtx gvia;conus geographus toxin;toxin conus geographus;geographus toxin conus;conus geographus toxin gvia","1"
"d020960","omega-conotoxins","omega-conotoxins;omega conotoxins;omega-conotoxin;omega conotoxin","1"
"d020916","conotoxins","conotoxins;conotoxin;mu-conotoxins;mu conotoxins;mu-conotoxin;mu conotoxin;alpha-conotoxins;alpha conotoxins;alpha-conotoxin;alpha conotoxin","1"
"d008978","mollusk venoms","mollusk venoms;venoms mollusk;mollusk venom;venom mollusk;mollusc venoms;venoms mollusc;octopus venoms;venoms octopus;octopus venom;venom octopus;snail venom;venom snail;snail venoms;venoms snail;conus venoms;venoms conus;conus venom;venom conus","1"
"","moniliformin","","0"
"d009116","muscarine","","1"
"","mushroom toxins","","0"
"","nantenine","","0"
"","neoilludin a","","0"
"","neosaxitoxin","","0"
"","neosurugatoxin","","0"
"d009498","neurotoxins","neurotoxins;alpha-neurotoxins;alpha neurotoxins;excitotoxins;excitotoxin;excitatory neurotoxins;neurotoxins excitatory","1"
"d009538","nicotine","nicotine;nicotine bitartrate;nicotine tartrate","1"
"","nivalenol","","0"
"","nodularin","","0"
"","ochratoxin a","","0"
"d019319","okadaic acid","okadaic acid;acid okadaic;ocadaic acid;acid ocadaic","1"
"","oleandrin","","0"
"","onchidal","","0"
"","orellanine","","0"
"","ostreocin d","","0"
"d010042","ouabain","ouabain;g-strophanthin;g strophanthin;acocantherin;acolongifloroside k","1"
"","oxyopinin 1","","0"
"","oxyopinin 2a","","0"
"d000068196","albumin-bound paclitaxel","albumin-bound paclitaxel;albumin bound paclitaxel;paclitaxel albumin-bound;protein-bound paclitaxel;paclitaxel protein-bound;protein bound paclitaxel;abraxane;abi007;abi-007;abi 007","1"
"d017239","paclitaxel","paclitaxel;anzatax;nsc-125973;nsc 125973;nsc125973;taxol;taxol a;bris taxol;taxol bris;paclitaxel 4 alpha-isomer;paxene;praxel;7-epi-taxol;7 epi taxol;onxol","1"
"","palytoxin","","0"
"","palytoxins","","0"
"","paspalicine","","0"
"","paspaline","","0"
"","paspalinine","","0"
"","paxilline","","0"
"","pectenotoxin 1","","0"
"","pectenotoxin 2","","0"
"","penitrem a","","0"
"","penitrem b","","0"
"","penitrem c","","0"
"","penitrem d","","0"
"","penitrem e","","0"
"","penitrem f","","0"
"","pennigritrem","","0"
"","philanthotoxin","","0"
"","philanthotoxin 343","","0"
"","phomopsin a","","0"
"","phorbol","","0"
"","phrixotoxin 1","","0"
"","phrixotoxin 2","","0"
"","phrixotoxins","","0"
"","phrymarolin i","","0"
"","phytotoxins","","0"
"","picrotoxinin","","0"
"d011034","podophyllotoxin","podophyllotoxin;podofilox;condylox;cph86;epipodophyllotoxin;podocon-25;podophyllotoxin 5r-5 alpha5a alpha8a alpha9 beta-isomer;podophyllotoxin 5r-5 alpha5a alpha8a beta9 alpha-isomer;podophyllotoxin 5r-5 alpha5a beta8a alpha9 beta-isomer;wartec;warticon;podofilm;condyline;podophyllotoxin 5r-5 alpha5a alpha8a alpha9 alpha-isomer","1"
"d005047","etoposide","etoposide;eposide;demethyl epipodophyllotoxin ethylidine glucoside;eto-gry;eto gry;etoposide 5a alpha9 alpha-isomer;etoposide 5s-isomer;etoposide alpha-d-glucopyranosyl isomer;etoposide alpha d glucopyranosyl isomer;alpha-d-glucopyranosyl isomer etoposide;etoposido ferrer farma;exitop;lastet;nsc-141540;nsc 141540;nsc141540;onkoposid;riboposid;toposar;etoposide teva;teva etoposide;vepesid;vp 16-213;vp 16 213;vp 16213;vp-16;vp 16;vp16;vpside-sandoz;vpside sandoz;celltop;etopos;etomedac;eposin;etoposide 5a alpha-isomer;etoposide pierre fabre","1"
"","polisteskinin jt","","0"
